name,address,url,latitude,longitude,source_file,category
善福寺川緑地,東京都杉並区成田東二・三・四丁目、成田西一・三・四丁目、荻窪一丁目,https://www.tokyo-park.or.jp/park/format/index021.html,35.690675,139.632405,130001_public_facility.csv,公園
善福寺公園,東京都杉並区善福寺二・三丁目,https://www.tokyo-park.or.jp/park/format/index010.html,35.713434,139.591542,130001_public_facility.csv,公園
祖師谷公園,東京都世田谷区上祖師谷三、四丁目・祖師谷六丁目・成城九丁目,https://www.tokyo-park.or.jp/park/format/index008.html,35.656911,139.599357,130001_public_facility.csv,公園
石神井公園,東京都港区台場一丁目10番1号,http://www.tptc.co.jp/park/01_02,139.604122,35.743429,130001_public_facility.csv,公園
滝山公園,東京都八王子市高月町、丹木町二、三丁目,https://tamaparks.com/takiyama/,35.701454,139.330101,130001_public_facility.csv,公園
玉川上水緑道,東京都福生市、昭島市、立川市、小平市、三鷹市、武蔵野市、杉並区,http://musashinoparks.com/kouen/tamagawa/,35.671987,139.664898,130001_public_facility.csv,その他
東京臨海広域防災公園,東京都江東区有明3丁目8番35号,http://www.tokyorinkai-koen.jp/,35.6804,139.769017,130001_public_facility.csv,公園
舎人公園,東京都足立区舎人公園、西伊興町ほか,https://www.tokyo-park.or.jp/park/format/index024.html,35.797451,139.772165,130001_public_facility.csv,公園
富山公園,東京都新宿区戸山一・二・三丁目、新宿区大久保三丁目,https://www.tokyo-park.or.jp/park/format/index002.html,35.707707,139.705066,130001_public_facility.csv,公園
中川公園,東京都足立区中川五丁目,http://tokyo-eastpark.com/nakagawa/,35.774755,139.845443,130001_public_facility.csv,公園
中藤公園,東京都武蔵村山市中央4・5 丁目地内,https://www.sayamaparks.com/nakato/,35.759998,139.389301,130001_public_facility.csv,公園
長沼公園,東京都八王子市長沼町・下柚木・堀之内,https://www.tokyo-park.or.jp/park/format/index067.html,35.638301,139.368525,130001_public_facility.csv,公園
野川公園,東京都調布市野水一・二丁目、小金井市東町一丁目、三鷹市大沢二・三・六丁目,http://musashinoparks.com/kouen/nogawa/,35.68334,139.525446,130001_public_facility.csv,公園
野山北・六道山公園,東京都武蔵村山市三ツ木4-2,http://www.sayamaparks.com/noyama/,35.765884,139.379757,130001_public_facility.csv,公園
八国山緑地,東京都東村山市諏訪町2・3丁目、多摩湖町4丁目,http://www.sayamaparks.com/hachikokuyama/,35.766772,139.454934,130001_public_facility.csv,公園
東綾瀬公園,東京都足立区東綾瀬一・二・三丁目、 綾瀬三・五・六丁目、谷中一丁目,http://tokyo-eastpark.com/higashiayase/,35.770235,139.832565,130001_public_facility.csv,公園
東白鬚公園,東京都墨田区堤通二丁目,http://www.tokyo-park.or.jp/park/format/index012.html,35.733687,139.814077,130001_public_facility.csv,公園
東伏見公園,東京都西東京市東伏見一丁目,https://musashinoparks.com/kouen/higashifushimi/,35.728728,139.557041,130001_public_facility.csv,公園
東村山中央公園,東京都東村山市富士見町五丁目・美住町一丁目,http://www.tokyo-park.or.jp/park/format/index051.html,35.747927,139.459004,130001_public_facility.csv,公園
東大和公園,東京都東大和市湖畔3丁目、高木1丁目、狭山3丁目,http://www.sayamaparks.com/higashiyamato/,35.756214,139.430354,130001_public_facility.csv,公園
東大和南公園,東京都東大和市桜が丘二・三丁目,http://www.tokyo-park.or.jp/park/format/index052.html,35.734226,139.42202,130001_public_facility.csv,公園
光が丘公園,東京都練馬区光が丘二・四丁目、旭町二丁目、板橋区赤塚新町三丁目,https://www.tokyo-park.or.jp/park/format/index023.html,35.765204,139.629503,130001_public_facility.csv,公園
日比谷公園,東京都千代田区日比谷公園,https://www.tokyo-park.or.jp/park/format/index037.html,35.674439,139.755388,130001_public_facility.csv,公園
平山城址公園,東京都八王子市堀之内,https://www.tokyo-park.or.jp/park/format/index066.html,139.380848,35.647956,130001_public_facility.csv,公園
府中の森公園,東京都府中市浅間町一丁目・緑町二丁目・天神町二丁目,http://www.tokyo-park.or.jp/park/format/index048.html,35.676369,139.491872,130001_public_facility.csv,公園
水元公園,東京都葛飾区水元公園・水元猿町・東金町五、八丁目・埼玉県三郷市高洲三丁目,https://www.tokyo-park.or.jp/park/format/index041.html,35.787198,139.869841,130001_public_facility.csv,公園
武蔵国分寺公園,東京都国分寺市泉町二丁目・西元町二丁目,http://musashinoparks.com/kouen/musasikoku/,35.69685,139.472757,130001_public_facility.csv,公園
武蔵野公園,東京都小金井市前原町二丁目、東町五丁目、中町一丁目、府中市多磨町二・三丁目,http://musashinoparks.com/kouen/musasino/,35.687906,139.520496,130001_public_facility.csv,公園
武蔵野中央公園,東京都武蔵野市八幡町二丁目,http://www.tokyo-park.or.jp/park/format/index059.html,35.718669,139.55854,130001_public_facility.csv,公園
武蔵野の森公園,東京都府中市朝日町三丁目、調布市西町、三鷹市大沢五・六丁目,https://www.tokyo-park.or.jp/park/format/index058.html,35.676093,139.522366,130001_public_facility.csv,公園
明治公園,東京都渋谷区千駄ヶ谷一丁目,http://www.kensetsu.metro.tokyo.jp/jimusho/toubuk/meiji/index_top.html,130.416439,33.588397,130001_public_facility.csv,公園
夢の島公園,東京都江東区夢の島,http://www.yumenoshima.jp/park/,35.651124,139.82782,130001_public_facility.csv,公園
横網町公園,東京都墨田区横網二丁目３番地２５号,http://tokyoireikyoukai.or.jp/,35.699188,139.796883,130001_public_facility.csv,公園
代々木公園,東京都渋谷区代々木神園町、神南二丁目,http://www.tokyo-park.or.jp/park/format/index039.html,35.671736,139.694945,130001_public_facility.csv,公園
陵南公園,東京都八王子市長房町、東浅川町,https://tamaparks.com/ryonan/,35.649066,139.289172,130001_public_facility.csv,公園
林試の森公園,東京都目黒区下目黒五丁目、東京都品川区小山台二丁目,http://www.tokyo-park.or.jp/park/format/index003.html,35.624931,139.703329,130001_public_facility.csv,公園
蘆花恒春園,東京都世田谷区粕谷一丁目,http://www.tokyo-park.or.jp/park/format/index007.html,35.661969,139.61091,130001_public_facility.csv,その他
六仙公園,東久留米市中央町三丁目,http://musashinoparks.com/kouen/rokusen/,35.750302,139.522698,130001_public_facility.csv,公園
和田堀公園,東京都杉並区大宮一・二丁目、成田東一・二丁目、成田西一丁目、堀ノ内一・二丁目、松ノ木一丁目,http://www.tokyo-park.or.jp/park/format/index095.html,35.685224,139.64057,130001_public_facility.csv,公園
旧岩崎邸庭園,東京都台東区池之端一丁目,https://www.tokyo-park.or.jp/teien/contents/index035.html,35.70976,139.767205,130001_public_facility.csv,その他
旧芝離宮恩賜庭園,東京都港区海岸一丁目,https://www.tokyo-park.or.jp/teien/contents/index029.html,35.655799,139.758046,130001_public_facility.csv,その他
旧古河庭園,東京都北区西ヶ原一丁目,https://www.tokyo-park.or.jp/teien/contents/index034.html,35.743102,139.746698,130001_public_facility.csv,その他
清澄庭園,東京都江東区清澄二・三丁目,https://www.tokyo-park.or.jp/teien/contents/index033.html,35.680676,139.797804,130001_public_facility.csv,その他
小石川後楽園,東京都文京区後楽一丁目,https://www.tokyo-park.or.jp/teien/contents/index030.html,35.704864,139.747649,130001_public_facility.csv,その他
殿ヶ谷戸庭園,東京都国分寺市南町二丁目,https://www.tokyo-park.or.jp/teien/contents/index036.html,35.69872,139.481937,130001_public_facility.csv,その他
浜離宮恩賜庭園,東京都中央区浜離宮庭園,https://www.tokyo-park.or.jp/teien/contents/index028.html,35.659737,139.763493,130001_public_facility.csv,その他
向島百花園,東京都墨田区東向島三丁目,https://www.tokyo-park.or.jp/teien/contents/index032.html,35.724215,139.815601,130001_public_facility.csv,その他
六義園,東京都文京区本駒込六丁目,https://www.tokyo-park.or.jp/teien/contents/index031.html,35.732759,139.747707,130001_public_facility.csv,その他
墨田区役所,,https://www.city.sumida.lg.jp/sisetu_info/kuyakusyo/sumidakuyakusyo.html,35.710722,139.801497,131075_public_facility.csv,市役所・役場
緑出張所,,https://www.city.sumida.lg.jp/sisetu_info/syuttyouzyo/midori_syuttyouzyo.html,35.693716,139.803289,131075_public_facility.csv,市役所・役場
横川出張所,,https://www.city.sumida.lg.jp/sisetu_info/syuttyouzyo/yokokawa_syuttyouzyo.html,35.705911,139.816341,131075_public_facility.csv,市役所・役場
文花出張所,,https://www.city.sumida.lg.jp/sisetu_info/syuttyouzyo/bunka_syuttyouzyo.html,35.708094,139.824656,131075_public_facility.csv,市役所・役場
墨田二丁目出張所,,https://www.city.sumida.lg.jp/sisetu_info/syuttyouzyo/sumida2_syuttyuouzyo.html,35.731063,139.818292,131075_public_facility.csv,市役所・役場
東向島出張所,,https://www.city.sumida.lg.jp/sisetu_info/syuttyouzyo/hm_syuttyouzyo.html,35.721213,139.818441,131075_public_facility.csv,市役所・役場
ひきふね図書館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/library/annai/hikihune.html,35.717058,139.819491,131075_public_facility.csv,図書館
緑図書館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/library/annai/midori.html,35.69574,139.800613,131075_public_facility.csv,図書館
立花図書館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/library/annai/tatibana.html,35.710694,139.834842,131075_public_facility.csv,図書館
八広図書館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/library/annai/yahiro.html,35.72481,139.825793,131075_public_facility.csv,図書館
東駒形コミュニティ会館図書室,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/library/annai/higasikomagata.html,35.705517,139.807746,131075_public_facility.csv,コミュニティセンター
梅若橋コミュニティ会館図書室,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/library/annai/umewaka.html,35.735335,139.816746,131075_public_facility.csv,コミュニティセンター
横川コミュニティ会館図書室,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/library/annai/yokokawa.html,35.705116,139.81758,131075_public_facility.csv,コミュニティセンター
曳舟文化センター,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/hikibunec.html,35.718293,139.818762,131075_public_facility.csv,コミュニティセンター
すみだリバーサイドホール,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/sumidariversidehall/index.html,35.710228,139.801599,131075_public_facility.csv,その他
東駒形コミュニティ会館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/higashikomagata/index.html,35.705517,139.807746,131075_public_facility.csv,コミュニティセンター
梅若橋コミュニティ会館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/umewakabashi/index.html,35.735335,139.816746,131075_public_facility.csv,コミュニティセンター
横川コミュニティ会館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/yokokawa/index.html,35.705116,139.81758,131075_public_facility.csv,コミュニティセンター
みどりコミュニティセンター,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/midori_communityc.html,35.693598,139.803278,131075_public_facility.csv,コミュニティセンター
東墨田会館,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/east_sumida.html,35.721384,139.832596,131075_public_facility.csv,コミュニティセンター
すみだ共生社会推進センター,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/sumida_zyoseicenter/index.html,35.712706,139.811982,131075_public_facility.csv,コミュニティセンター
ユートリヤ（すみだ生涯学習センター）,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/yutoriya/index.html,35.721049,139.818306,131075_public_facility.csv,学校・教育施設
八広地域プラザ「吾嬬の里」,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/plaza/yahiro_chiikiplaza/index.html,35.723165,139.829377,131075_public_facility.csv,その他
本所地域プラザ「BIG SHIP」,,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/plaza/honjyo_chiikiplaza/index.html,35.703121,139.798799,131075_public_facility.csv,その他
墨田区総合体育館,,https://www.city.sumida.lg.jp/sisetu_info/sports/sumidacitygym.html,35.699416,139.817188,131075_public_facility.csv,スポーツ・体育館
スポーツプラザ梅若,,https://www.city.sumida.lg.jp/sisetu_info/sports/umewaka.html,35.729064,139.815837,131075_public_facility.csv,スポーツ・体育館
立花体育館,,,35.705186,139.83202,131075_public_facility.csv,スポーツ・体育館
すみだスポーツ健康センター,,https://www.city.sumida.lg.jp/sisetu_info/sports/sumidasportcenter.html,35.716461,139.830555,131075_public_facility.csv,スポーツ・体育館
両国屋内プール,,https://www.city.sumida.lg.jp/sisetu_info/sports/ryougoku/index.html,35.697809,139.796259,131075_public_facility.csv,スポーツ・体育館
弓道場,,https://www.city.sumida.lg.jp/sisetu_info/sports/kyuudou.html,35.693357,139.817402,131075_public_facility.csv,その他
